Sample in Buffer,Sample in Window,TRIGGER,zynq_i/system_ila_0/inst/net_slot_0_axi_ar_cnt[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_araddr[31:0],zynq_i/system_ila_0/inst/net_slot_0_axi_arlen[7:0],zynq_i/system_ila_0/inst/net_slot_0_axi_arsize[2:0],zynq_i/system_ila_0/inst/net_slot_0_axi_aw_cnt[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_awaddr[31:0],zynq_i/system_ila_0/inst/net_slot_0_axi_awlen[7:0],zynq_i/system_ila_0/inst/net_slot_0_axi_awsize[2:0],zynq_i/system_ila_0/inst/net_slot_0_axi_b_cnt[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_r_cnt[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_rdata[63:0],zynq_i/system_ila_0/inst/net_slot_0_axi_rresp[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_wdata[63:0],zynq_i/system_ila_0/inst/net_slot_0_axi_aw_ctrl[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_awvalid,zynq_i/system_ila_0/inst/net_slot_0_axi_awready,zynq_i/system_ila_0/inst/net_slot_0_axi_w_ctrl[2:0],zynq_i/system_ila_0/inst/net_slot_0_axi_wvalid,zynq_i/system_ila_0/inst/net_slot_0_axi_wready,zynq_i/system_ila_0/inst/net_slot_0_axi_wlast,zynq_i/system_ila_0/inst/net_slot_0_axi_b_ctrl[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_bvalid,zynq_i/system_ila_0/inst/net_slot_0_axi_bready,zynq_i/system_ila_0/inst/net_slot_0_axi_ar_ctrl[1:0],zynq_i/system_ila_0/inst/net_slot_0_axi_arvalid,zynq_i/system_ila_0/inst/net_slot_0_axi_arready,zynq_i/system_ila_0/inst/net_slot_0_axi_r_ctrl[2:0],zynq_i/system_ila_0/inst/net_slot_0_axi_rvalid,zynq_i/system_ila_0/inst/net_slot_0_axi_rready,zynq_i/system_ila_0/inst/net_slot_0_axi_rlast,zynq_i/system_ila_0/inst/net_slot_1_axis_tdata[23:0],zynq_i/system_ila_0/inst/net_slot_1_axis_tkeep[2:0],zynq_i/system_ila_0/inst/net_slot_1_axis_tuser,zynq_i/system_ila_0/inst/net_slot_1_axis_tvalid,zynq_i/system_ila_0/inst/net_slot_1_axis_tready,zynq_i/system_ila_0/inst/net_slot_1_axis_tlast,AR_Channel_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],AW_Channel_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],B_Channel_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],Interface_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],Interface_(i2:s1)_(axi_vdma_0_M_AXIS_MM2S)[2:0],R_Channel_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],T_Channel_(i2:s1)_(axi_vdma_0_M_AXIS_MM2S)[2:0],W_Channel_(i2:s0)_(axi_vdma_0_M_AXI_MM2S)[2:0],slot_0___axi_vdma_0_M_AXI_MM2S___Read_Transactions_0[15:0],slot_0___axi_vdma_0_M_AXI_MM2S___Read_Transactions_1[15:0],slot_0___axi_vdma_0_M_AXI_MM2S___Read_Transactions_2[15:0]
0,0,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","_","_","_","No Write Data Beats","_","_","_"
1,1,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
2,2,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,0,0,"_","No Write Addr Cmds","No Write Responses","_","_","_","_","No Write Data Beats","_","_","_"
3,3,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
4,4,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
5,5,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
6,6,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,0,0,"_","No Write Addr Cmds","No Write Responses","_","_","_","_","No Write Data Beats","_","_","_"
7,7,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
8,8,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
9,9,0,1,00000000,00,"1 byte",0,00000000,00,"8 bytes",0,1,0000ff0000ff0000,"OKAY",0000000000000000,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,1,1,ff0000,7,0,1,1,0,"_","No Write Addr Cmds","No Write Responses","_","Active","_","Stream Beat","No Write Data Beats","_","_","_"
